	Log_Degree	Log_The number of genes	Degree	The number of genes
0	0.0	5.241747015059643	1	189
1	0.6931471805599453	4.454347296253507	2	86
2	1.0986122886681098	4.127134385045092	3	62
3	1.3862943611198906	3.871201010907891	4	48
4	1.6094379124341003	3.2188758248682006	5	25
5	1.791759469228055	3.2188758248682006	6	25
6	1.9459101490553132	3.091042453358316	7	22
7	2.0794415416798357	2.70805020110221	8	15
8	2.1972245773362196	2.302585092994046	9	10
9	2.302585092994046	2.70805020110221	10	15
10	2.3978952727983707	2.302585092994046	11	10
11	2.4849066497880004	2.0794415416798357	12	8
12	2.5649493574615367	2.3978952727983707	13	11
13	2.6390573296152584	2.1972245773362196	14	9
14	2.70805020110221	1.9459101490553132	15	7
15	2.772588722239781	2.302585092994046	16	10
16	2.833213344056216	1.3862943611198906	17	4
17	2.8903717578961645	2.0794415416798357	18	8
18	2.9444389791664403	2.302585092994046	19	10
19	2.995732273553991	1.3862943611198906	20	4
20	3.044522437723423	1.791759469228055	21	6
21	3.091042453358316	2.1972245773362196	22	9
22	3.1354942159291497	0.6931471805599453	23	2
23	3.1780538303479458	1.3862943611198906	24	4
24	3.2188758248682006	1.791759469228055	25	6
25	3.258096538021482	0.0	26	1
26	3.295836866004329	1.0986122886681098	27	3
27	3.332204510175204	1.791759469228055	28	6
28	3.367295829986474	1.9459101490553132	29	7
29	3.4011973816621555	1.3862943611198906	30	4
30	3.4339872044851463	1.3862943611198906	31	4
31	3.4657359027997265	1.3862943611198906	32	4
32	3.4965075614664802	1.6094379124341003	33	5
33	3.5263605246161616	1.0986122886681098	34	3
34	3.5553480614894135	1.9459101490553132	35	7
35	3.58351893845611	0.6931471805599453	36	2
36	3.6109179126442243	1.0986122886681098	37	3
37	3.6375861597263857	1.0986122886681098	38	3
38	3.6635616461296463	1.6094379124341003	39	5
39	3.6888794541139363	1.6094379124341003	40	5
40	3.713572066704308	1.3862943611198906	41	4
41	3.7376696182833684	0.6931471805599453	42	2
42	3.7612001156935624	0.0	43	1
43	3.8066624897703196	0.0	45	1
44	3.828641396489095	1.6094379124341003	46	5
45	3.8501476017100584	1.3862943611198906	47	4
46	3.871201010907891	0.0	48	1
47	3.8918202981106265	1.791759469228055	49	6
48	3.912023005428146	0.0	50	1
49	3.9318256327243257	0.0	51	1
50	3.9512437185814275	1.3862943611198906	52	4
51	3.970291913552122	1.0986122886681098	53	3
52	4.02535169073515	0.6931471805599453	56	2
53	4.04305126783455	0.0	57	1
54	4.060443010546419	0.6931471805599453	58	2
55	4.07753744390572	0.6931471805599453	59	2
56	4.0943445622221	0.6931471805599453	60	2
57	4.110873864173311	0.0	61	1
58	4.127134385045092	1.0986122886681098	62	3
59	4.143134726391533	0.6931471805599453	63	2
60	4.174387269895637	0.0	65	1
61	4.189654742026425	0.0	66	1
62	4.219507705176107	0.6931471805599453	68	2
63	4.23410650459726	1.0986122886681098	69	3
64	4.248495242049359	1.0986122886681098	70	3
65	4.276666119016055	0.0	72	1
66	4.290459441148391	0.6931471805599453	73	2
67	4.30406509320417	0.0	74	1
68	4.31748811353631	0.0	75	1
69	4.330733340286331	0.6931471805599453	76	2
70	4.343805421853684	0.6931471805599453	77	2
71	4.356708826689592	0.0	78	1
72	4.3694478524670215	0.6931471805599453	79	2
73	4.394449154672439	0.0	81	1
74	4.418840607796598	0.0	83	1
75	4.430816798843313	0.6931471805599453	84	2
76	4.442651256490317	0.6931471805599453	85	2
77	4.454347296253507	0.0	86	1
78	4.465908118654584	0.0	87	1
79	4.477336814478207	0.0	88	1
80	4.48863636973214	1.0986122886681098	89	3
81	4.499809670330265	0.0	90	1
82	4.5217885770490405	0.0	92	1
83	4.532599493153256	0.0	93	1
84	4.553876891600541	0.0	95	1
85	4.59511985013459	0.0	99	1
86	4.605170185988092	0.0	100	1
87	4.61512051684126	0.6931471805599453	101	2
88	4.624972813284271	0.0	102	1
89	4.6443908991413725	0.6931471805599453	104	2
90	4.663439094112067	0.6931471805599453	106	2
91	4.68213122712422	1.0986122886681098	108	3
92	4.6913478822291435	0.0	109	1
93	4.700480365792417	0.0	110	1
94	4.709530201312334	0.0	111	1
95	4.718498871295094	0.0	112	1
96	4.727387818712341	1.3862943611198906	113	4
97	4.762173934797756	0.0	117	1
98	4.77912349311153	0.0	119	1
99	4.787491742782046	0.0	120	1
100	4.795790545596741	0.0	121	1
101	4.804021044733257	1.0986122886681098	122	3
102	4.812184355372417	0.0	123	1
103	4.8283137373023015	1.0986122886681098	125	3
104	4.836281906951478	0.0	126	1
105	4.844187086458591	0.6931471805599453	127	2
106	4.852030263919617	0.0	128	1
107	4.875197323201151	0.6931471805599453	131	2
108	4.890349128221754	0.6931471805599453	133	2
109	4.897839799950911	0.6931471805599453	134	2
110	4.90527477843843	1.0986122886681098	135	3
111	4.912654885736052	0.6931471805599453	136	2
112	4.919980925828125	0.6931471805599453	137	2
113	4.927253685157205	0.6931471805599453	138	2
114	4.941642422609304	0.6931471805599453	140	2
115	4.962844630259907	0.0	143	1
116	4.969813299576001	0.0	144	1
117	4.990432586778736	0.6931471805599453	147	2
118	4.997212273764115	0.0	148	1
119	5.0106352940962555	0.0	150	1
120	5.0238805208462765	0.0	152	1
121	5.0369526024136295	0.6931471805599453	154	2
122	5.043425116919247	0.0	155	1
123	5.056245805348308	0.0	157	1
124	5.062595033026967	1.0986122886681098	158	3
125	5.0689042022202315	0.0	159	1
126	5.075173815233827	0.0	160	1
127	5.081404364984463	0.0	161	1
128	5.099866427824199	0.0	164	1
129	5.1298987149230735	0.0	169	1
130	5.159055299214529	0.6931471805599453	174	2
131	5.181783550292085	0.0	178	1
132	5.19295685089021	0.0	180	1
133	5.204006687076795	0.0	182	1
134	5.225746673713202	0.0	186	1
135	5.231108616854587	0.0	187	1
136	5.272999558563747	0.0	195	1
137	5.288267030694535	0.0	198	1
138	5.293304824724492	0.0	199	1
139	5.493061443340548	0.0	243	1
